date,venue,location,setlist,gaps,artist,artistid,cancelled
1986-12-06,The Ranch,"Shelburne, VT","Funky Bitch | Possum | Peaches en Regalia | Makisupa Policeman | Fluffhead | I Know a Little | Golgi Apparatus | Slave to the Traffic Light | Shaggy Dog | Light Up Or Leave Me Alone | Camel Walk | Jam | Swing Low, Sweet Chariot | Back Porch Boogie Blues | Icculus | McGrupp and the Watchful Hosemasters | Good Times Bad Times | Skin It Back | Cities | Mike's Song | The Little Drummer Boy | Whipping Post | She Caught the Katy and Left Me a Mule to Ride | AC/DC Bag | David Bowie | Clod | David Bowie | You Enjoy Myself | Dog Log | Tush | Sneakin' Sally Thru the Alley | Prep School Hippie",-1 | 6 | 4 | 5 | 4 | -1 | 4 | 4 | 4 | -1 | 4 | 4 | 4 | 4 | 4 | 5 | -1 | 4 | 5 | 5 | -1 | 24 | -1 | 4 | 4 | 5 | 4 | 5 | 12 | -1 | 4 | 16,Phish,1,0
1987-01-19,Hunt's,"Burlington, VT",,,Phish,1,1
1987-01-21,Hunt's,"Burlington, VT","Wilson | I Am Hydrogen | Peaches en Regalia | Swing Low, Sweet Chariot | Sneakin' Sally Thru the Alley | Makisupa Policeman | Skin It Back | Cities | Fluffhead",7 | 7 | 1 | 1 | 1 | 1 | 1 | 1 | 1,Phish,1,0
1987-02-01,Nectar's,"Burlington, VT",,,Phish,1,0
1987-02-02,Nectar's,"Burlington, VT",,,Phish,1,0
1987-02-07,Mad Maggie's Farm,"Monkton, VT",,,Phish,1,0
1987-02-13,Johnson State College,"Johnson, VT",Sneakin' Sally Thru the Alley | Possum | Golgi Apparatus | Slave to the Traffic Light | Quinn the Eskimo (The Mighty Quinn) | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Suzy Greenberg | Sanity | Good Times Bad Times | Wilson | Melt the Guns | Dave's Energy Guide | Fluffhead | Harry Hood,3 | 5 | 5 | 5 | 11 | 10 | 22 | 10 | -1 | 10 | 5 | 3 | 10 | 24 | 3 | 10,Phish,1,0
1987-02-21,"Slade Hall, University of Vermont","Burlington, VT","Why Don't You Love Me? | Fluffhead | Fire | Suzy Greenberg | Dear Mrs. Reagan | Camel Walk | Back Porch Boogie Blues | Blue Monk | Clod | Lushington | Peaches en Regalia | Swing Low, Sweet Chariot | Boogie On Reggae Woman | Ya Mar | Corinna | Dog Log | Alumni Blues | Letter to Jimmy Page | Alumni Blues",-1 | 0 | 38 | 0 | 23 | 6 | 6 | -1 | 6 | 12 | 4 | 4 | -1 | -1 | -1 | 6 | 0 | 0 | 0,Phish,1,0
1987-02-27,"Slade Hall, University of Vermont","Burlington, VT",,,Phish,1,1
1987-03-06,Goddard College,"Plainfield, VT",Funky Bitch | Good Times Bad Times | Corinna | Golgi Apparatus | Quinn the Eskimo (The Mighty Quinn) | Sneakin' Sally Thru the Alley | Free Bird | Happy Birthday to You | Harry Hood | Tell Me Something Good | Possum | Freeworld | Wilson | Slave to the Traffic Light,8 | 2 | 1 | 2 | 2 | 2 | -1 | 60 | 2 | -1 | 2 | -1 | 2 | 2,Phish,1,0
1987-03-22,Nectar's,"Burlington, VT",,,Phish,1,0
1987-03-23,Nectar's,"Burlington, VT","Funky Bitch | Mike's Song | Alumni Blues | Letter to Jimmy Page | Alumni Blues | You Enjoy Myself | Sparks | Fluffhead | Peaches en Regalia | Ride Captain Ride | Dave's Energy Guide | Corinna | Why Don't You Love Me? | Camel Walk | Golgi Apparatus | Swing Low, Sweet Chariot",1 | 10 | 3 | 3 | 3 | 10 | -1 | 3 | 3 | -1 | 4 | 1 | 3 | 3 | 1 | 3,Phish,1,0
1987-04-24,"Billings Lounge, University of Vermont","Burlington, VT",Golgi Apparatus | AC/DC Bag | Possum | Fluffhead | You Enjoy Myself | Dave's Energy Guide | Punch Me in the Eye | Alumni Blues | Letter to Jimmy Page | Alumni Blues | I Am Hydrogen | Who Do? We Do! | David Bowie | Dear Mrs. Reagan | Slave to the Traffic Light,0 | 11 | 2 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 9 | -1 | 11 | 4 | 2,Phish,1,0
1987-04-28,Nectar's,"Burlington, VT",,,Phish,1,0
1987-04-29,Nectar's,"Burlington, VT","She Caught the Katy and Left Me a Mule to Ride | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Golgi Apparatus | Swing Low, Sweet Chariot | Fire | Skin It Back | Cities | Lushington | Dog Log | Melt the Guns | Dave's Energy Guide | Take the 'A' Train | Halley's Comet | Quinn the Eskimo (The Mighty Quinn) | AC/DC Bag | Peaches en Regalia | Fluffhead | Good Times Bad Times | Anarchy | Makisupa Policeman | Run Like an Antelope | Boogie On Reggae Woman | Timber (Jerry the Mule) | Slave to the Traffic Light | Sparks | McGrupp and the Watchful Hosemasters | The Ballad of Curtis Loew | Come On (Part One) | I Am Hydrogen | Who Do? We Do! | Fuck Your Face",13 | 1 | 1 | 1 | 1 | 2 | 6 | 11 | 11 | 6 | 6 | 7 | 1 | -1 | 18 | 4 | 1 | 2 | 1 | 4 | 19 | 11 | 36 | 6 | -1 | 1 | 2 | 13 | -1 | -1 | 1 | 1 | -1,Phish,1,0
1987-05-10,Nectar's,"Burlington, VT",,,Phish,1,0
1987-05-11,Nectar's,"Burlington, VT",You Enjoy Myself | Lushington | Possum | Slave to the Traffic Light | Sneakin' Sally Thru the Alley | Clod | Peaches en Regalia | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Makisupa Policeman | Ya Mar | Divided Sky | Funky Bitch | Harpua | Bundle of Joy | Harpua | Fluffhead | Good Times Bad Times | Golgi Apparatus | Corinna | Letter to Jimmy Page,3 | 1 | 3 | 1 | 6 | 8 | 1 | -1 | -1 | -1 | 1 | 8 | -1 | 4 | -1 | -1 | -1 | 1 | 1 | 1 | 4 | 1,Phish,1,0
1987-05-12,Nectar's,"Burlington, VT",,,Phish,1,0
1987-05-16,"Haybarn Theater, Goddard College","Plainfield, VT",,,Phish,1,0
1987-05-20,The Ranch,"South Burlington, VT",Wilson | Run Like an Antelope | Golgi Apparatus | Back Porch Boogie Blues | Lushington | Possum | Harry Hood | You Enjoy Myself | Alumni Blues | Fire,9 | 4 | 2 | 11 | 2 | 2 | 9 | 2 | 4 | 4,Phish,1,0
1987-08-09,Nectar's,"Burlington, VT",Golgi Apparatus | Slave to the Traffic Light | La Grange | Lushington | Possum | Sneakin' Sally Thru the Alley | Timber (Jerry the Mule) | Good Times Bad Times | AC/DC Bag | Shaggy Dog | Funky Bitch | The Curtain With | Halley's Comet | The Sloth | Light Up Or Leave Me Alone | Skin It Back | Peaches en Regalia | Fluffhead | Fee | Harry Hood | Harpua | Suzy Greenberg | David Bowie | You Enjoy Myself | Ya Mar | Divided Sky | Flat Fee | McGrupp and the Watchful Hosemasters | Corinna,0 | 3 | -1 | 0 | 0 | 3 | 5 | 3 | 5 | 19 | 3 | -1 | 5 | -1 | 19 | 5 | 3 | 3 | -1 | 0 | 3 | 12 | 7 | 0 | 3 | 3 | -1 | 5 | 3,Phish,1,0
1987-08-10,Nectar's,"Burlington, VT",Peaches en Regalia | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Golgi Apparatus | Wilson | Quinn the Eskimo (The Mighty Quinn) | Divided Sky | Good Times Bad Times | Fire | AC/DC Bag | Possum | Fluffhead | Fee | The Curtain With | I Know a Little | Mustang Sally | You Enjoy Myself | La Grange | Icculus | David Bowie | Jesus Just Left Chicago | Whipping Post | Anarchy | Tush | Dear Mrs. Reagan,0 | 1 | 4 | 1 | 0 | 1 | 6 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 20 | 25 | 0 | 0 | 20 | 0 | -1 | 20 | 6 | 20 | 8,Phish,1,0
1987-08-21,Ian McLean's Farm,"Hebron, NY","Dog Log | Peaches en Regalia | Divided Sky | Funky Bitch | Harry Hood | Clod | The Curtain With | Light Up Or Leave Me Alone | Shaggy Dog | Wilson | Camel Walk | Mike's Song | Hold Your Head Up | Harpua | Bundle of Joy | Harpua | Golgi Apparatus | Sparks | Flat Fee | Fee | Skin It Back | Low Rider | Back Porch Boogie Blues | The Sloth | Big Black Furry Creature from Mars | McGrupp and the Watchful Hosemasters | Stir It Up | Makisupa Policeman | David Bowie | Sanity | Swing Low, Sweet Chariot",7 | 0 | 0 | 1 | 1 | 5 | 0 | 1 | 1 | 0 | 10 | 10 | -1 | 1 | 5 | 1 | 0 | 7 | 1 | 0 | 1 | 53 | 2 | 1 | -1 | 1 | -1 | 5 | 0 | 15 | 7,Phish,1,0
1987-08-22,Vergennes Day,"Vergennes, VT",,,Phish,1,0
1987-08-29,The Ranch,"South Burlington, VT","Alumni Blues | Letter to Jimmy Page | Alumni Blues | The Ballad of Curtis Loew | Sneakin' Sally Thru the Alley | Makisupa Policeman | Big Black Furry Creature from Mars | Flat Fee | Lushington | Suzy Greenberg | Hold Your Head Up | Suzy Greenberg | Mustang Sally | Ya Mar | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Clod | Slave to the Traffic Light | Swing Low, Sweet Chariot | The Curtain With | McGrupp and the Watchful Hosemasters | Possum | Harry Hood | Timber (Jerry the Mule) | AC/DC Bag | Divided Sky | Harpua | Bundle of Joy | Harpua | La Grange | Corinna | Mike's Song | I Am Hydrogen | Who Do? We Do! | Shaggy Dog | David Bowie | Jesus Just Left Chicago | She Caught the Katy and Left Me a Mule to Ride",2 | 2 | 2 | 9 | 3 | 1 | 1 | 1 | 3 | 3 | 1 | 3 | 2 | 3 | 7 | 7 | 7 | 1 | 3 | 1 | 1 | 1 | 2 | 1 | 3 | 2 | 1 | 1 | 1 | 1 | 2 | 3 | 1 | 9 | 9 | 1 | 1 | 2 | 9,Phish,1,0
1987-09-02,Hunt's,"Burlington, VT",AC/DC Bag | Fluffhead | Sneakin' Sally Thru the Alley | Divided Sky | Wilson | David Bowie | Lushington | Possum | Big Black Furry Creature from Mars | Makisupa Policeman | Timber (Jerry the Mule) | Shaggy Dog | You Enjoy Myself,0 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3,Phish,1,0
1987-09-03,Hunt's,"Burlington, VT",,,Phish,1,0
1987-09-04,Goddard College,"Plainfield, VT",,,Phish,1,0
1987-09-19,Goddard College,"Plainfield, VT",,,Phish,1,0
1987-09-20,Nectar's,"Burlington, VT",,,Phish,1,0
1987-09-21,Nectar's,"Burlington, VT",The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Clod | Slave to the Traffic Light | Funky Bitch | Wilson | Dear Mrs. Reagan | Golgi Apparatus | AC/DC Bag | Possum | You Enjoy Myself | The Curtain With | Big Black Furry Creature from Mars | Suzy Greenberg | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Happy Birthday to You | Good Times Bad Times | Rocky Top | Sneakin' Sally Thru the Alley | Fee | Divided Sky | Dog Log | The Ballad of Curtis Loew | Run Like an Antelope | Makisupa Policeman | Flat Fee | Fire | Terrapin | La Grange | Fluffhead,5 | 5 | 5 | 5 | 5 | 7 | 4 | 8 | 7 | 4 | 4 | 4 | 5 | 4 | 5 | 5 | 5 | 5 | 20 | 8 | -1 | 4 | 7 | 4 | 7 | 5 | 10 | 4 | 5 | 8 | -1 | 5 | 4,Phish,1,0
1987-09-26,Odd Fellows Hall,"Burlington, VT",Possum,0,Phish,1,0
1987-09-27,St. Lawrence University,"Canton, NY",,,Phish,1,1
1987-10-10,The Ranch,"Shelburne, VT",Prep School Hippie | Divided Sky,32 | 2,Phish,1,0
1987-10-14,Hunt's,"Burlington, VT",Peaches en Regalia | Take the 'A' Train | You Enjoy Myself | Golgi Apparatus | Slave to the Traffic Light | The Chase | Fluffhead | Dave's Energy Guide | Possum | David Bowie | AC/DC Bag | Divided Sky | McGrupp and the Watchful Hosemasters | Clod | Makisupa Policeman,11 | 19 | 3 | 3 | 3 | -1 | 3 | 19 | 2 | 8 | 3 | 0 | 9 | 3 | 3,Phish,1,0
1987-10-18,Nectar's,"Burlington, VT",,,Phish,1,0
1987-10-19,Nectar's,"Burlington, VT",,,Phish,1,0
1987-10-21,Hunt's,"Burlington, VT",,,Phish,1,1
1987-10-23,Cork's,"Burlington, VT",,,Phish,1,0
1987-10-24,Cork's,"Burlington, VT",,,Phish,1,0
1987-10-31,"Sculpture Room, Goddard College","Plainfield, VT",Jam | Whipping Post | Sneakin' Sally Thru the Alley | Back Porch Boogie Blues | Halley's Comet | Light Up Or Leave Me Alone | Love You | AC/DC Bag | Possum | You Enjoy Myself | Big Black Furry Creature from Mars | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Peaches en Regalia | Take the 'A' Train | Timber (Jerry the Mule) | The Chase | I Am Hydrogen | Who Do? We Do! | Fee | Divided Sky | McGrupp and the Watchful Hosemasters | Who Do? We Do! | Clod | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Fluffhead | David Bowie,39 | 18 | 9 | 17 | 19 | 17 | -1 | 5 | 5 | 5 | 9 | 9 | 9 | 9 | 5 | 5 | 14 | 5 | 15 | 15 | 9 | 5 | 5 | 15 | 5 | 9 | 9 | 9 | 5 | 5,Phish,1,0
1987-11-15,Nectar's,"Burlington, VT",,,Phish,1,0
1987-11-16,Nectar's,"Burlington, VT",,,Phish,1,0
1987-11-17,Nectar's,"Burlington, VT",,,Phish,1,0
1987-11-18,Hunt's,"Burlington, VT",Slave to the Traffic Light | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Flat Fee | Wilson | Peaches en Regalia | Take the 'A' Train | Golgi Apparatus | Divided Sky | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Good Times Bad Times | I Didn't Know | You Enjoy Myself | Fluffhead | AC/DC Bag,9 | 3 | 3 | 3 | 13 | 13 | 3 | 3 | 9 | 3 | 3 | 3 | 3 | 13 | -1 | 3 | 3 | 3,Phish,1,0
1987-11-19,Hunt's,"Burlington, VT",McGrupp and the Watchful Hosemasters | Sparks | Funky Bitch | You Enjoy Myself | Sneakin' Sally Thru the Alley | Harry Hood | Fire | Timber (Jerry the Mule) | Fluffhead | I Didn't Know | Fee | Corinna | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Jam | Suzy Greenberg | Possum | Divided Sky | Big Black Furry Creature from Mars | Dinner and a Movie | The Ballad of Curtis Loew | Whipping Post | Harpua | Take the 'A' Train | Camel Walk | La Grange | Bike | Slave to the Traffic Light,4 | 22 | 14 | 0 | 4 | 20 | 14 | 4 | 0 | 0 | 4 | 20 | 0 | 0 | 0 | 4 | 14 | 4 | 0 | 4 | -1 | 14 | 4 | 20 | 0 | 22 | 14 | -1 | 0,Phish,1,0
1987-11-21,Nectar's,"Burlington, VT",,,Phish,1,0
1987-11-22,Nectar's,"Burlington, VT",,,Phish,1,0
1987-11-23,Nectar's,"Burlington, VT",,,Phish,1,0
1988-01-27,Gallagher's,"Waitsfield, VT",Funky Bitch | Mustang Sally | AC/DC Bag | Possum | Jesus Just Left Chicago | Sneakin' Sally Thru the Alley | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Take the 'A' Train | Good Times Bad Times | Wilson | Slave to the Traffic Light | Corinna | Fire | Fluffhead | Divided Sky | The Ballad of Curtis Loew | You Enjoy Myself | The Sloth | Whipping Post | Fee | The Lizards | Suzy Greenberg | Golgi Apparatus | Bike | Big Black Furry Creature from Mars | Camel Walk | Harry Hood,3 | 24 | 4 | 3 | 24 | 3 | 3 | 3 | 3 | 3 | 4 | 4 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 26 | 3 | 3 | -1 | 3 | 4 | 3 | 3 | 3 | 3,Phish,1,0
1988-02-03,Gallagher's,"Waitsfield, VT",David Bowie | Sympathy for the Devil | Fee | Run Like an Antelope | AC/DC Bag | Possum,9 | -1 | 0 | 19 | 0 | 0,Phish,1,0
1988-02-07,Nectar's,"Burlington, VT",Fire | McGrupp and the Watchful Hosemasters | Shaggy Dog | Golgi Apparatus | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Peaches en Regalia | Phase Dance | Dear Mrs. Reagan | I Didn't Know | David Bowie | Happy Birthday to You | AC/DC Bag | Timber (Jerry the Mule) | Flat Fee | Fee | Possum | The Lizards | Fly Famous Mockingbird | Whipping Post | Suzy Greenberg | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Clod | Bundle of Joy | The Curtain With | The Ballad of Curtis Loew | Good Times Bad Times,1 | 5 | 25 | 1 | 1 | 1 | 1 | 6 | -1 | 20 | 5 | 0 | 20 | 0 | 5 | 6 | 0 | 0 | 1 | -1 | 1 | 1 | 6 | 6 | 6 | 10 | 26 | 20 | 1 | 1,Phish,1,0
1988-02-08,Nectar's,"Burlington, VT",Slave to the Traffic Light | Funky Bitch | Take the 'A' Train | Golgi Apparatus | Phase Dance | Fire | You Enjoy Myself | Fluffhead | Wilson | Peaches en Regalia | Divided Sky | The Lizards | Run Like an Antelope | The Sloth | Flat Fee | Dinner and a Movie | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Harry Hood | Bike | Fee | Jesus Just Left Chicago | Big Black Furry Creature from Mars,2 | 2 | 2 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 2 | 0 | 1 | 2 | 0 | 6 | 0 | 0 | 0 | 2 | 2 | 0 | 2 | 2,Phish,1,0
1988-02-10,Gallagher's,"Waitsfield, VT",,,Phish,1,0
